,review,rating
24,"The thread broke with in few uses, have been using Flipkart and other brand choppers of same kind from past 2 years, there are still working fine, looking at the brand thought this would be more durable, but the thread broke within few days.READ MORE",4
25,Value for moneyREAD MORE,5
26,Good exeilentREAD MORE,5
27,best product.READ MORE,4
28,Good productREAD MORE,5
29,S.s blades and smooth runREAD MORE,4
30,"Not working at all, can't chop veggiesREAD MORE",5
31,Gud productREAD MORE,5
32,Writing the review after two weeks of usage.. The product looks premium and functioning is effortless. The design is unique as compared to other products which have a circular compartment. Strong grip and few pulls are enough to get the job done. Highly Recommended.READ MORE,4
33,Excellent product. Gud quality very usefulREAD MORE,5
34,Good quality product.it has grip at the bottom which is good.blade quality is also good.overall good product.READ MORE,5
35,Worst product. Blade stuck inside fruits and not moving. If company make the edges of the blade narrow then it cut fine.Butterfly is not flying its stuck inside fruits and shouting save me from fruits and vegetables.READ MORE,4
36,Very niceREAD MORE,5
37,Very nyc quality product😍READ MORE,5
38,Nice productREAD MORE,5
39,wow! cutting vegetables was easyREAD MORE,5
40,Wow super duper happyREAD MORE,5
41,Avrge qualityREAD MORE,5
42,It's awesome product    ... very useful  .... thanks to FlipkartREAD MORE,4
43,worth it I love this item i never expect in this budget range build quality is goodREAD MORE,5
44,The pulling rope will break in 6 months....it is cheap quality.... There should be a replacement for the pulling rope.... otherwise will have to replace the whole chopper in every 6 months...READ MORE,3
45,I like this productREAD MORE,3
46,Very nice product.tnq  flipcartREAD MORE,5
47,Nice product 👍READ MORE,5
48,Superb quality..Must buy..👍Thanks Flipkart for this deal👌READ MORE,5
49,It works good . But I purchased a big one 0.9L expecting more    quantity can done but only 2 3 onion only  chopped and price is high.READ MORE,5
50,Looking good but and delivery on time in this setuation that's why I am click on 3 🌟 but  I giving ratings product value after use. Thank youREAD MORE,5
51,Bahuth hi accha chopper hai Thank you flipkartREAD MORE,5
52,Satisfied 🎆READ MORE,5
53,Xcellent productREAD MORE,3
54,"Highly satisfied from butterfly must buy ,quality is perfect as mentioned. Thanks FlipkartREAD MORE",4
55,It's really a great product.. Love itREAD MORE,5
56,Excellent productREAD MORE,5
57,"Valuable,easy to cut and clean ,nice thank you Flipkart.🤗❤️READ MORE",5
58,"Overall difficult to recommend.Pros : easy to clean, yes it chops fine, Does not leaks.Cons : 600ml is small even for 2-3 medium size onions. Needs lot of pulls, sometime I just give it a skip.Blade is Okayish kind. Could have been more sharper.If you have decided to go for it buy a larger vessel. Greater than 600ml.READ MORE",5
59,Great product.  The blade is so sharp I cut my finger. Very handy productREAD MORE,4
60,Very nice product easy to useREAD MORE,5
61,GoodREAD MORE,5
62,Nice product with great durabilityREAD MORE,5
63,Very nice chopper 🤩🤩READ MORE,5
64,Excellent product..READ MORE,5
65,Very good ☺️READ MORE,5
66,Superb......READ MORE,5
67,"Like it, very useful, good quality,👍👍READ MORE",5
68,Worthy nd highly recommendedREAD MORE,5
70,Blades are really sharp and be cautious while handling it for first timeAnd also build quality is good ThxREAD MORE,4
71,Cuts the vegetables sooner 😍 worth the moneyREAD MORE,5
72,NiceREAD MORE,5
73,Amazing productREAD MORE,5
74,Best veg chopper.READ MORE,5
75,Quality is very good but so smallREAD MORE,5
77,Awsm product and quality of product is also good.READ MORE,5
79,Perfect product by size quantity quality must buy.READ MORE,5
80,Very good product also very sharp bladesREAD MORE,5
82,Farud app I have case in supreme courtREAD MORE,5
83,It's goodREAD MORE,5
84,Good one.READ MORE,5
85,Good ProductREAD MORE,5
86,Only for one or two tomatoes it's work otherwise it's hanging not happyREAD MORE,5
87,"It's a Great buy at this price. I was skeptical of its quality but, been using it for few weeks now. My biggest headache was chopping onion n this make it so easy. Though u need to put small quantity as to not to over load it n damaged the string  it's worth it. Everything's is finely chopped. Veggis I used so far r onions, garlic, cabbage, tomatoes , cucumber n capsicum.ifound this very helpful.READ MORE",4
88,Looking good and works too.. Looking very attractive...hurry! Now i can chopped every person in my house.. 😂😂READ MORE,3
89,"It's nice .as shown in the pic,📸 Tysm flipkart n price is very cheap n best . must buy this product .awesome product.👌🏻👌🏻READ MORE",4
90,Its string brocken after 2 months of usage. Bad experience 😏😏😏😏😏READ MORE,5
93,Worst product ever! We can never put enough vegetables as it gets stuck in between which won't allow us to grind the vegetables. Believe me never ever purchase this product. A good mixer is better than this one. It's very time wasting product so dissaponted:(READ MORE,4
94,"Best quality,superbREAD MORE",5
95,It's amazingREAD MORE,5
96,Very useful....READ MORE,5
97,COULD BE BETTERREAD MORE,5
98,"Very good chopper . Saving time and easy to use ,washREAD MORE",3
99,GoodREAD MORE,4
100,Excellent and awesome productThanks flipkartREAD MORE,4
101,It's broken after 1 week of use...the small thing which support and rotate the blade is broken....very bad experience of butter fly brand....I think the other small company chopper are faaaar better than thisREAD MORE,5
102,Don't buy.Not working after one month of use.READ MORE,5
103,Not useREAD MORE,5
104,"Very bad waste of money don't buy and,blade quality is very badREAD MORE",5
105,"This product has really worst quality, it didn't even work for an weekREAD MORE",5
106,Very poor blade qualityREAD MORE,3
107,Very bad not working..plzz..plzz..not purchase this itemREAD MORE,5
108,It doesn't work properly.  I wish that I could replace it .READ MORE,5
109,"It was so good, helpfulWorth, thank you butterfly.READ MORE",5
110,Not satisfied. It takes time to chop the veggies. I felt cutting through knife makes my job easy than this chopperREAD MORE,5
111,Not work properly blades became rust in 4 daysREAD MORE,5
112,The product is good. The blade is sharp and it is cutting all vegetables into small pieces. But it is little difficult to cut hard vegetable like beetroot. And the rope is also very strong.READ MORE,5
113,Cuts into fine pieces. Make sure you cut and load not as fullREAD MORE,4
114,"It chops the onions , tomatoes and coriander  so fine and dry . It doesn't spill out the juice . Best !READ MORE",5
115,Best quality of product in good price cuts efficienty(No sweat at all) premium build qualityREAD MORE,5
116,Damaged productREAD MORE,4
117,"Very bad, poor blade qualityREAD MORE",5
118,Very good 👌READ MORE,4
119,OkREAD MORE,5
120,"I used it for a week N it worked very good but after a week the blades aren't working ,very upset coz the cost is very high n product is badREAD MORE",4
121,Best in the marketREAD MORE,5
122,it was okREAD MORE,5
123,BadREAD MORE,5
124,Not godREAD MORE,5
125,Choper is super but taste is badREAD MORE,5
126,Not usefulREAD MORE,3
127,Really nice product and it's worth it.READ MORE,4
128,Very nice product...READ MORE,5
129,Built quality is perfectREAD MORE,4
130,Super product...READ MORE,5
131,Excellent product. This will drastically reduce your chopper time in kitchen. The only concern is the design should have been circular as it's easy to cleanREAD MORE,5
132,Is a good product💗i like itREAD MORE,5
133,Beauty... Works like a pro. Order 2 unitsREAD MORE,5
134,"Best product I am happy ,😊😊😊😊READ MORE",4
136,It's just amazing and what a look on the other hand blades are too sharpREAD MORE,5
137,Nice productREAD MORE,4
138,Thank you FlipkartREAD MORE,5
139,Nice product.makes my job easy 😍READ MORE,4
140,Outstanding product osm The blades are very sharpREAD MORE,5
141,So beautiful design and best quality 👌👌😷READ MORE,4
143,Sooo goodREAD MORE,5
144,Nice product quality is very good👍👍👍READ MORE,3
146,"Sharp blades good for cutting vegetables like onion,chillies,carrotsREAD MORE",5
147,Very helpfulREAD MORE,3
148,Exelent..READ MORE,5
149,Very good productREAD MORE,4
150,Excellent product  thank you flipkart & sellerREAD MORE,5
151,Very nice quality so goodREAD MORE,5
152,Good choppedREAD MORE,5
153,It is good Worth of manyREAD MORE,5
154,Superb.. must worth..Easy to use..READ MORE,5
155,I like this product osm working and nice design i have used to all chopper but butterfly company its osm and Harfcore good qualityREAD MORE,5
156,Very nice product be careful blade is very sharpREAD MORE,5
157,Nice quality product i have seen😘😘😘😘READ MORE,5
158,Super i likede it very much priviously i used another 2 brands pigeon and amazan But this is better than thatREAD MORE,5
159,Super product.... you can buy it with out any hesitation.....READ MORE,5
160,Nice qualityREAD MORE,5
162,Superb productREAD MORE,5
163,"Best product,  recommended ✌READ MORE",5
164,Very good quality. Worth buying it for home purpose.READ MORE,5
165,Good quality thank to flipkartREAD MORE,5
166,Just awesome.READ MORE,4
167,This is magic chopper.. I like it so muchREAD MORE,5
168,Too niceREAD MORE,4
169,Very good and usefull product.READ MORE,5
170,Good and but not cut properlyREAD MORE,5
171,Good lookingREAD MORE,5
172,This chopper is very nice and useful I am very Happy 👌READ MORE,5
174,Very nice product it saves  lot of time specially for working womenREAD MORE,5
175,Looks good. Blades are not pure steel. Magnet getting attached to blades is sign of non pure of steel.READ MORE,5
176,Best product for kichenREAD MORE,4
177,Good qualityREAD MORE,5
178,Very very very nice product. Chop vegetables in second. Loved it❤❤❤❤❤READ MORE,4
179,Beautiful and very good qualityREAD MORE,5
181,This one nice for kitchen useREAD MORE,5
182,ExcellentREAD MORE,5
183,Happy with service and good product.READ MORE,5
184,I am so happy this good itemREAD MORE,5
185,Truly awesome product. What a chopper...too much easily chopped vegitables....READ MORE,4
186,Worth moneyGood productREAD MORE,5
187,SupperbREAD MORE,5
188,Nice product...Bought it twiceREAD MORE,5
189,Good Quality👍👌READ MORE,4
190,"Premium quality, 🤗READ MORE",4
191,GrtREAD MORE,5
192,Best product for girls and carry outREAD MORE,5
193,Super productREAD MORE,5
195,Good in workREAD MORE,4
196,Very effective and chops everything  finely and easily would recommend to everyoneREAD MORE,5
197,Super superREAD MORE,5
198,Loved it..just shake the chopper if you have difficulty chopping big pieces and it should work..  Premium finished product..it also looks great :)READ MORE,4
199,niceREAD MORE,5
200,"Used Tupperware chopper 1800/-, this beats Tupperware easily. Chops evenly and worth every penny.READ MORE",5
201,Awesome product.worth for moneyREAD MORE,5
202,Very satisfiedREAD MORE,5
203,Its better to chop and a antique shape and money for worth it chop smooth everythingREAD MORE,5
204,It’s not have a stainless steelREAD MORE,5
205,"Sounds high Only soft items like onions, tomato, Michigan will cut finely when comes to carrots beetroot sounds more will not get chopped....READ MORE",5
206,Not happy with the pricing felt cheatedREAD MORE,4
207,This product is best..👍👍👍READ MORE,5
208,Its a very nice product but it does not lasting for long time and it makes sound weather they replace the productREAD MORE,5
209,Vary goodREAD MORE,5
210,Very good quality for this butterfly chopar....And very fast delivery by flipkart...READ MORE,5
211,SuperREAD MORE,5
212,Very nice product value for moneyREAD MORE,5
213,"Thread can break anytime , holder of thread is not strong.READ MORE",4
214,"Fully satisfied from product nd flipkart... amazing product, must buy... overall nice experience... thanks filpkart...READ MORE",5
215,Nice product value for moneyREAD MORE,5
216,It's worth for price.READ MORE,4
217,Wonderful productREAD MORE,5
218,This product is superb very niceREAD MORE,5
219,Best productREAD MORE,5
221,"It is look nice but still I didn’t start to use after use  I’ll edit my review, thanks FlipkartREAD MORE",5
222,Chopping efficiency is by far best...far far better than wonderchef same product...go for it...for rs 399 its good buy...READ MORE,5
224,"Best in the market.. Go for 0.9L (900ml). Vegetables can be finely chopped especially onions, tomatoes, potatoes, green Chillies etc.. Tomatoes can be made into paste, just add half a glass of water while chopping. The 900ml one comes with five blades. Be careful while cleaning the blades, blades are very sharp, Don't touch the blades while cleaning, just put the blades under tap running water to clean. Butterfly is a premium brand for kitchen tools and non-stick utensils.READ MORE",5
225,"Built quality is very good tbh, but u need to cut the vegetables in small pieces to be able to chop them with this gadget later, but once u do that, omg the chopping speed n sizes are just incredible, a good productREAD MORE",4
226,Product is not good ..........waste money😢😢😢Product name is high but quility is not high.READ MORE,4
227,Gud oneREAD MORE,5
228,Nice product worth for money 👍💖✨READ MORE,4
231,Very good i happyREAD MORE,5
232,I have bought this product earlier. But this time blade quality is so poor.READ MORE,4
233,Got it for my sister she is very happy with the purchase due to its optimal usageREAD MORE,3
234,Good product 👍READ MORE,4
236,Good productREAD MORE,4
237,Very useful product I am very happy thank youREAD MORE,5
238,Good product by butterfly and good combination with FlipkartREAD MORE,5
239,"Very useful For cutting onions,tomatoes, cabbage ,beetroot,coriander...no need to apply more pressure....it saves your time and energy...if u want to cut the above VeggiesREAD MORE",3
241,This product is very nice for housewife.READ MORE,5
243,It broken very early... Not recommended..READ MORE,5
244,Super qualityREAD MORE,5
246,😍  Good  Product . 👌🏻 It's  Working  Nice .💰 Value of Money . 💐  Thank you Filpcart  .READ MORE,4
247,Very Easy to choppingREAD MORE,5
248,Good and best productREAD MORE,4
249,Quality is so good.looks so classic easy chopping great value for money.READ MORE,5
251,Very goodREAD MORE,4
253,Product is good but issue with puller string gets loose and after that uselessREAD MORE,5
254,Only work one weekREAD MORE,5
255,Not at all good. It's better to use your hands and knife than this product. WASTE OF MONEYREAD MORE,5
256,very good product....👍👍READ MORE,4
257,It was nice and worth moneyREAD MORE,5
258,Very goodREAD MORE,5
259,useful item for every house wifeREAD MORE,4
261,"Very bad product, waste of moneyREAD MORE",5
262,Best qualityREAD MORE,5
264,Worst Product. Don't Buy this Product.READ MORE,5
267,Super good quality. .READ MORE,3
269,So niceREAD MORE,5
270,Superb!I am satisfied this product 👍!READ MORE,5
271,GreatREAD MORE,5
273,Not goodREAD MORE,5
274,Very very useful product. Thanks Flipkart..READ MORE,3
275,Good product...READ MORE,5
276,WorstREAD MORE,5
277,Not cutting the vegetablesREAD MORE,4
278,Easy for choppingREAD MORE,5
279,Best chopper in the marketREAD MORE,4
280,Mind blowing purchaseREAD MORE,3
281,Blade quality is bad. Material is not stainless steel. Caught rust after 2 times used.READ MORE,5
282,Very useful product.  Easy to use. Must tryREAD MORE,5
283,Superb qualityREAD MORE,4
284,Very usefulREAD MORE,3
286,I'm very happyREAD MORE,5
288,Really awesome product. Writing this after two months. Its really usefull.. Easy to chop onion for omlett..  easy to make raitha and salsa.. Blade quality very gudREAD MORE,5
289,User friendly extremely happyREAD MORE,5
290,NiseREAD MORE,4
291,Perfect..go for itREAD MORE,5
292,Durable and strongREAD MORE,4
293,Definitely worth the price....easy choppingREAD MORE,5
295,Need 100 star rating for this productREAD MORE,5
296,NiceREAD MORE,4
297,Very nice product. Good shape and easy to useREAD MORE,5
298,BadREAD MORE,4
299,Good for onion cutting.READ MORE,5
300,"It's best veggie cutter, I'll order one more for my friend,:Ty flipkart for safe deliveryREAD MORE",5
301,Wow... Amazing... Product🥰🥰READ MORE,5
302,Good product.... Easy to useREAD MORE,5
303,Nice product.Must buyREAD MORE,5
304,WorstREAD MORE,4
305,Totally waste of money 💰 it's blade was totally waste it's not cutting properly and inside button was broke after 1 useREAD MORE,5
306,Good qualityREAD MORE,4
307,Very very impressiveREAD MORE,5
308,blade is no strongREAD MORE,5
310,Superb money worth product 👌 happy shopping 🛍READ MORE,5
311,Great product and easy to useREAD MORE,5
313,Cheap qualityREAD MORE,4
314,Super producedCareful was the blade Ok👍READ MORE,4
315,Do not buy...Better to buy any local one rather going to Butter fly one... It looks good but when you use then you will realise that looks doesn't matterREAD MORE,5
316,Good 😊READ MORE,5
317,Very Good Product. But be careful of the Blade as it might be hazardous if wrongly handled. The container build quality is excellent. Been using it for quite some time.READ MORE,5
318,Just wowREAD MORE,4
319,Excellent qualityREAD MORE,5
320,"Cutting is nice for onions only. For carrots and other hard veggies, I don't think it's as easy as the onions, efforts needed. Pulling String is of low quality, it may not last long.READ MORE",4
322,A good vegetable cutter....it also has a fine blade... Overall nice quality ❤READ MORE,5
323,"After 2-3 use the blade got corroded, blade quality is poor it's not Stainless steelREAD MORE",5
324,Amazing productREAD MORE,4
326,Still working goodREAD MORE,5
328,Very useful so I like itREAD MORE,5
331,Super goodREAD MORE,5
332,Please don't waste your money..one or two times only it works afterthat it doesn't workREAD MORE,4
333,Good workingREAD MORE,5
335,SoooperREAD MORE,5
336,Super cute best qualityREAD MORE,5
337,SuprREAD MORE,5
338,"Very very bad product, utterly disappointed purchase, not even good for a single useREAD MORE",5
339,Excellent 👍READ MORE,5
340,Good one easy to handleREAD MORE,5
341,Very very good productREAD MORE,5
342,"Very Good product, good quality. Just go for it👍READ MORE",4
343,GoodREAD MORE,3
344,Excellent!!!READ MORE,5
346,I like the product thank you flipkartREAD MORE,5
348,AwsomeREAD MORE,5
353,Not up to the expectationsREAD MORE,5
354,Best quality product but chops too fineREAD MORE,5
355,"Excellent, blindly go for itREAD MORE",5
356,Wow what a nice chopper for the kitchenREAD MORE,4
357,Waste of moneyREAD MORE,4
358,Easy to you and Good Quality productsREAD MORE,5
359,Product is worthREAD MORE,4
360,Worst product... within 1 month product thread not workingREAD MORE,5
361,Nice good qualityREAD MORE,5
362,"Good product ,easy to useREAD MORE",3
364,This is wonderful...I am in love with it...READ MORE,5
365,Very good productREAD MORE,3
366,Good productREAD MORE,3
368,"I got fooled by reviews and purchased, now all I have it regrets. My old chopper of Ganesh was very much good, used to take just few mins to cut things but this? It takes 5 mins and also it doesn't cut equal. Sadly seller have no return policy only replacement. Very much disappointed.READ MORE",4
369,FineREAD MORE,4
371,Very Nice ProductREAD MORE,5
372,Good best quality product value for moneyREAD MORE,4
375,Good product 👍👍😂READ MORE,5
377,Must buy this.....READ MORE,4
378,Superb ❤❤❤❤❤❤READ MORE,5
379,Good quality prdctREAD MORE,5
380,Nice for cut vegetablesREAD MORE,4
381,Blades of this chopper are not enough sharp to chop even tomatoesREAD MORE,5
382,It's a very good productREAD MORE,5
383,Can buy ......READ MORE,5
386,GudREAD MORE,5
387,"Very bad product. Unable to slice anything inside this..Blade is weak and will fold if we put anything vegetables inside , like onion or tomato. Waste of money..READ MORE",5
389,Blades r not working they loss their sharpness after several daysREAD MORE,5
390,Suprb product.. I think this one is one of the best chopper available in the maraket.. Because it's blade is very smooth and sharp... Go for it..READ MORE,5
391,The quality was so bad that within 2 weeks it started having cracks on the walls. Now after 2 months the condition is worse..READ MORE,3
392,Really superREAD MORE,3
393,Good quality. Good packaging. Premium product. Super product. Really good. Butterfly🥰READ MORE,5
394,Very nice item  thanks FlipkartREAD MORE,4
395,Good quality and working wellREAD MORE,5
396,UsefulREAD MORE,4
398,It's superb product 👌👌👌READ MORE,4
400,Brought for a friend as a gift. And she really liked it. Really useful and easy to carry. Thanks flipkartREAD MORE,5
401,Ruff and Tuff! Good product.READ MORE,5
402,It's very nice product. The product quality is top notch.READ MORE,5
403,working is not so good.  Locking is not correct.  I bought 600 ml.  I think the 900ml jar would have been better for daily useREAD MORE,5
404,It's okay to buyREAD MORE,5
405,SuperREAD MORE,3
407,"Efficient chopper, does it job well , highly recommendedREAD MORE",5
408,Its very nice but you can use it for 1 yearREAD MORE,5
409,Nice oneREAD MORE,4
411,Good  productREAD MORE,3
413,ExlentREAD MORE,5
414,It’s amazingREAD MORE,4
415,Very nice products l am so happy Thank youREAD MORE,5
416,Price is High other wise it is great dealREAD MORE,5
417,Very nice productREAD MORE,5
418,Product  was very quality  superREAD MORE,4
420,Good product 👌READ MORE,4
421,It was broken.READ MORE,4
422,This is used only time and the lead has been brokenREAD MORE,5
423,Super product 👌READ MORE,5
424,Little small product.900 ml size will be good compare to this one.READ MORE,5
425,The thread is not of good qualityREAD MORE,3
426,Its  nice but while chopping Sound s Coming from The headREAD MORE,5
428,Does its job ok ok.READ MORE,5
429,Not good as expected.... it is working like normal product... not worth for the money for this brandREAD MORE,5
430,Good oneREAD MORE,5
431,This is verry good productREAD MORE,5
433,It's a very convenient product everyone should definitely try it and the quality was also goodREAD MORE,4
434,Good quality 👌READ MORE,4
435,Super product..READ MORE,5
437,Must buyREAD MORE,5
438,OkayREAD MORE,5
439,Value for money 💸READ MORE,3
440,Very bad product uselessREAD MORE,5
441,AwesomeREAD MORE,5
442,Great nice product 👍READ MORE,4
443,Good Product...READ MORE,5
444,Overall good but. Its noisy.. And not much comfortREAD MORE,4
445,Good product and very useful for house hold workREAD MORE,5
447,Very convenient to useREAD MORE,3
449,Average. Its blade qualitywise not gud bcz it oftenly cause rustingREAD MORE,5
452,"Good product, value for money.READ MORE",4
453,Very niceREAD MORE,4
454,Worth product.READ MORE,5
455,Good qualityREAD MORE,3
456,It's not workingREAD MORE,5
457,Best Chopper ever I bought... fantastic one and the highest efficiency and durability...READ MORE,5
458,Good product for home useREAD MORE,4
459,SuperREAD MORE,4
460,Very bad bladesREAD MORE,5
461,Blades are so sharp but I'm quiet skeptical about the thread which we have to pull rotate those blades Good 👍READ MORE,4
462,Big size quality no. 1READ MORE,5
465,Bad productREAD MORE,5
466,Product is goodREAD MORE,5
467,So good and smooth functioning like a cakeREAD MORE,5
469,"Excellent product , must buyREAD MORE",4
470,Good product and friendly usedREAD MORE,3
472,Not badREAD MORE,3
473,Very usefulREAD MORE,5
474,WasteREAD MORE,4
475,Very good 👍👍👍👍👍👍READ MORE,4
476,Good product and work gets more easilyREAD MORE,4
478,"Good quality,READ MORE",5
480,Worked for only 2 months and now the thread is broken and I have used very often Very disappointedREAD MORE,4
481,Excellent built qualityREAD MORE,4
483,Chopping is so easy with this thanks FlipkartREAD MORE,4
485,Super product👍👍READ MORE,5
486,After 1 month of use it's damaged 👎🏼👎🏼👎🏼👎🏼👎🏼👎🏼👎🏼😑🤨READ MORE,5
488,Very badREAD MORE,3
489,Impressed..... an essential kitchen product in every home.. value for money.. such a sharp knife.. easy to useREAD MORE,5
490,Gud for some timeREAD MORE,4
491,It's good 😊READ MORE,5
492,"Superb Build Quality, Easy to use.READ MORE",5
493,Don't be cheated. Mere waste of money. Not at all useful to chop a single 🧅 at a time after making it small cubes.READ MORE,5
494,Verrrry good thank u flipkartREAD MORE,5
495,Very good 😊READ MORE,4
496,OKREAD MORE,4
497,Easy to useREAD MORE,5
498,The best chopper i bought so far..the blades are very sharp..READ MORE,4
499,Satisfied thank you....READ MORE,5
500,Must buy.. worth itREAD MORE,5
502,Very useful make work soonREAD MORE,5
503,Poor qualityREAD MORE,5
508,Don't think too much just go for itREAD MORE,3
510,thanks 😊 🫂 🙏 😊READ MORE,5
511,ok okREAD MORE,5
512,Good morningREAD MORE,5
515,I love it 💞💞💞😻😻😻😻😻READ MORE,5
516,Worst product . Not working at all👎🏻READ MORE,5
519,After 2 months of use. It not working chopping blades not running fast.READ MORE,5
520,Original product it's good quality and easy to useREAD MORE,5
521,SuperbREAD MORE,4
523,Blade got rusted in 2 daysREAD MORE,3
524,averageREAD MORE,5
525,"Quality is very  good  i use this product last one year,but no complaintREAD MORE",5
526,Not goodREAD MORE,4
528,It's amegingREAD MORE,5
529,Damaged within 2 months...READ MORE,5
533,Best oneREAD MORE,5
534,good productREAD MORE,5
535,Good product.READ MORE,5
536,Good one go for itREAD MORE,4
538,Good product easy to useREAD MORE,4
541,Very worst product. Waste of money. Kindly don't buy it.READ MORE,4
542,Fantastic product 👍👍READ MORE,5
543,Very badREAD MORE,5
544,Worst quality blade not stainlessREAD MORE,5
545,Helpful for all kitchen loversREAD MORE,5
547,Nice product 👌READ MORE,5
549,Working for half of the jar. More quantity stuck and make damage. Is not longlife product.READ MORE,5
550,It's not working 😡😡😡😡😡READ MORE,4
551,Not badREAD MORE,5
552,Too badREAD MORE,5
553,Good product go for itREAD MORE,4
555,Very good and blead very shorpREAD MORE,4
558,Good quality 👍READ MORE,4
559,Average product straight blades hard to operateREAD MORE,5
561,Good product value for moneyREAD MORE,5
564,Didn't function properly for even a weekREAD MORE,5
565,VerygoodREAD MORE,5
566,Very excellent performance due to sharp blades.READ MORE,5
568,poor quqlity blades...READ MORE,5
569,"Very good vegetable chopper by Butterfly Brand. It has 30 days warranty period which is awesome at this price range. Its build quality is superb and also durable. Looks sturdy and stylish. Its blade quality is good not super good, as I was expecting that it has very very sharp blades. But, it's a very good chopper at this price range. Thanks Flipkart and Butterfly!READ MORE",5
570,Nice and good productREAD MORE,3
573,AverageREAD MORE,5
574,OkeyREAD MORE,5
575,Nice and good product  qualityREAD MORE,5
576,Ok good productREAD MORE,5
579,"Pdt is good quality, easy to use, 30 days warranty, so happy good pdt must buyREAD MORE",4
580,Good one .READ MORE,5
583,Good oneREAD MORE,4
586,Very good. Thank you.READ MORE,5
588,"Blades r not good,it takes a long time to grate d vegetablesREAD MORE",3
590,Stopped working after 2 months don't buyREAD MORE,5
591,Overall decent product...READ MORE,5
592,Good 👍🏻READ MORE,5
593,it's very hard to cut the vegetablesREAD MORE,3
594,Very good product....Value for money... 👍👌READ MORE,5
595,It is very usefull when homepower.it use when we go journeys we want to thanks FlipkartREAD MORE,4
597,"Firstof all.... Thank you Flipkart for adding this product to your site. It is worth for money and you will love it , if you buy it . The chopper works fabulously. I loved it 😍.The main point is, we can use it, without the need of electricity.I recommend it to you guys.READ MORE",5
598,The plastic quality is poor.READ MORE,5
599,Too goodREAD MORE,4
600,Very useful productREAD MORE,5
601,Easy to use. Got it in a combo value deal. I think we do not appreciate the value Flipkart gives us at the comfort at our homeaREAD MORE,5
602,3 month use only....now this not working 🥵READ MORE,5
604,Super 😒READ MORE,5
606,WorthREAD MORE,4
